Indicator,Medicaid expenses as a percent of state budgets
Source,"State Expenditure Reports, National Association of State Budget Officers.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,Medicaid expenditures include both state and federal dollars.
Description,Measure of state and federal spending on Medicaid as a share of state budgets. Year is defined as fiscal year.


Fips,Location,TimeFrame,Data Type,Data,MOE
01,Alabama,2019,Percent,0.242,
02,Alaska,2019,Percent,0.205,
04,Arizona,2019,Percent,0.314,
05,Arkansas,2019,Percent,0.289,
06,California,2019,Percent,0.296,
08,Colorado,2019,Percent,0.232,
09,Connecticut,2019,Percent,0.238,
10,Delaware,2019,Percent,0.193,
11,Dist. of Columbia,2019,Percent,#N/A,
12,Florida,2019,Percent,0.314,
13,Georgia,2019,Percent,0.211,
15,Hawaii,2019,Percent,0.149,
16,Idaho,2019,Percent,0.275,
17,Illinois,2019,Percent,0.26,
18,Indiana,2019,Percent,0.36,
19,Iowa,2019,Percent,0.247,
20,Kansas,2019,Percent,0.209,
21,Kentucky,2019,Percent,0.292,
22,Louisiana,2019,Percent,0.361,
23,Maine,2019,Percent,0.338,
24,Maryland,2019,Percent,0.258,
25,Massachusetts,2019,Percent,0.298,
26,Michigan,2019,Percent,0.311,
27,Minnesota,2019,Percent,0.307,
28,Mississippi,2019,Percent,0.267,
29,Missouri,2019,Percent,0.384,
30,Montana,2019,Percent,0.252,
31,Nebraska,2019,Percent,0.183,
32,Nevada,2019,Percent,0.251,
33,New Hampshire,2019,Percent,0.352,
34,New Jersey,2019,Percent,0.244,
35,New Mexico,2019,Percent,0.289,
36,New York,2019,Percent,0.353,
37,North Carolina,2019,Percent,0.291,
38,North Dakota,2019,Percent,0.188,
39,Ohio,2019,Percent,0.38,
40,Oklahoma,2019,Percent,0.243,
41,Oregon,2019,Percent,0.22,
42,Pennsylvania,2019,Percent,0.364,
44,Rhode Island,2019,Percent,0.286,
45,South Carolina,2019,Percent,0.26,
46,South Dakota,2019,Percent,0.204,
47,Tennessee,2019,Percent,0.339,
48,Texas,2019,Percent,0.293,
US,United States,2019,Percent,0.288,
49,Utah,2019,Percent,0.181,
50,Vermont,2019,Percent,0.287,
51,Virginia,2019,Percent,0.204,
53,Washington,2019,Percent,0.251,
54,West Virginia,2019,Percent,0.225,
55,Wisconsin,2019,Percent,0.21,
56,Wyoming,2019,Percent,0.133,
