Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"1239246","",""K" Street Learning Center LLC","19290 K ST ","SOMERSET","TX","78069","BEXAR",830-429-1010,"Licensed Center - Child Care Program","Full Permit",10/13/2011,82,"sylvia@kstreetlearningcenter.com","773628","","Y","Y","Y","Y"
"1687698","","1.2..me Kidz","1222 BABCOCK RD ","SAN ANTONIO","TX","78201","BEXAR",210-310-3990,"Licensed Center - Child Care Program","Full Permit",3/21/2019,81,"kidz1.2me@yahoo.com","1325841","","Y","Y","Y","Y"
"1660660","","123 Sunshine Academy","15303 E ANTONE CIR ","HOUSTON","TX","77071","HARRIS",281-810-9028,"Licensed Child-Care Home","Full Permit",2/1/2018,12,"","1287403","","Y","Y","Y","Y"
"1669438","","123-ABC Learning Center","5418 BAKERSFIELD ST ","SAN ANTONIO","TX","78228","BEXAR",210-432-4895,"Licensed Center - Child Care Program","Full Permit",10/31/2018,12,"lorena123Abc@aol.com","1299948","","Y","Y","Y","Y"
"1648324","","1st International Academy","1609 W HEBRON PKWY STE 104","CARROLLTON","TX","75010","DENTON",469-688-5663,"Licensed Center - Child Care Program","Full Permit",11/30/2017,43,"milee8877@gmail.com","1271777","","Y","Y","Y","Y"
"1713882","","1st Step 2 Life #2","534 NORMANDY ST ","HOUSTON","TX","77015","HARRIS",281-704-4728,"Licensed Center - Child Care Program","Renewed Initial",5/28/2021,74,"","1365205","","Y","Y","Y","Y"
"976846","","1st Step Early Learning Center","401 F M 685 STE 104","PFLUGERVILLE","TX","78660","TRAVIS",512-251-2276,"Licensed Center - Child Care Program","Full Permit",11/4/2009,49,"nikkie@1ststepearlylearning.com","455568","","Y","Y","Y","Y"
"864918","","1st Step University Child Care","1402 STONEHOLLOW DR ","KINGWOOD","TX","77339","HARRIS",281-358-0699,"Licensed Center - Child Care Program","Full Permit",2/23/2007,75,"","303366","","Y","Y","Y","Y"
"1523696","","1st Thing 1st Child Development and Learning Center, LLC","410 E CHURCH AVE ","KILLEEN","TX","76541","BELL",254-634-4600,"Licensed Center - Child Care Program","Full Permit",10/7/2013,38,"director@1stthing1st.com","1122524","","Y","Y","Y","Y"
"520954","","1st UMC Parents Day Out","4901 PAIGE RD ","THE COLONY","TX","75056","DENTON",972-625-2891,"Licensed Center - Child Care Program","Full Permit",9/25/1996,118,"pdo@fumctc.org","145285","","Y","Y","Y","Y"
"1715677","","2 Bs Childcare and Learning Center","100 E MASON ST ","FORT WORTH","TX","76110","TARRANT",817-841-5755,"Licensed Center - Child Care Program","Initial",3/5/2021,34,"","1368012","","Y","Y","Y","Y"
"1147066","","2nd Step Daycare & Learning Center","4255 S R L THORNTON FWY ","DALLAS","TX","75224","DALLAS",214-372-2800,"Licensed Center - Child Care Program","Full Permit",11/5/2010,198,"daycare2ndstep@outlook.com","662108","","Y","Y","Y","Y"
"1702594","","4 Heaven Sakes Learning Center","11231 ALVIN ST STE 2","DALLAS","TX","75218","DALLAS",469-664-5523,"Licensed Center - Child Care Program","Full Permit",8/20/2020,34,"fourhslc@yahoo.com","1347075","","Y","Y","Y","Y"
"877707","","4th and Elms Cornerstone Christian Preschool","400 ELM ST ","SWEETWATER","TX","79556","NOLAN",325-235-1500,"Licensed Center - Child Care Program","Full Permit",1/30/2008,95,"msthbaker@yahoo.com","322495","","Y","Y","Y","Y"
"1719335","","5 Star Kids Daycare & Learning Center Corp.","8281 N LOOP DR ","EL PASO","TX","79907","EL PASO",915-234-2572,"Licensed Center - Child Care Program","Initial",5/14/2021,52,"","1374284","","Y","Y","Y","Y"
"811705","","803 Old McDonald Day Care Learning Center","30856 FM 803 ","LOS FRESNOS","TX","78566","CAMERON",956-867-5437,"Licensed Center - Child Care Program","Full Permit",6/10/2002,90,"","195131","","Y","Y","Y","Y"
"1710455","","A & B Nursery School","3111 FOREST OAKS BLVD ","HOUSTON","TX","77017","HARRIS",713-944-6144,"Licensed Center - Child Care Program","Full Permit",2/22/2021,153,"tsquare705@gmail.com","1359919","","Y","Y","Y","Y"
"1646912","","A + Learning Academy","7060 STONEHOLLOW DR ","TEMPLE","TX","76502","BELL",254-778-5200,"Licensed Center - Child Care Program","Full Permit",7/26/2017,333,"amandawinkler@aplus-learningacademy.com","1269785","","Y","Y","Y","N"
"1517812","","A 2 Z Learning Center","1323 S MAIN ST ","DUNCANVILLE","TX","75137","DALLAS",972-298-8958,"Licensed Center - Child Care Program","Full Permit",11/21/2013,175,"a2zlearning@yahoo.com","1114748","","Y","Y","Y","Y"
"889806","","A B C Academy, LLC","18916 FREEPORT DR ","MONTGOMERY","TX","77356","MONTGOMERY",936-448-2223,"Licensed Center - Child Care Program","Full Permit",7/23/2008,322,"abc@abcmontgomery.com","345822","","Y","Y","Y","Y"
"1662892","","A B Sea Preschool","2335 TEXAS ST STE B","PEARLAND","TX","77581","BRAZORIA",832-243-4602,"Licensed Center - Child Care Program","Full Permit",3/21/2018,50,"abseapreschool@gmail.com","1290709","","N","Y","Y","Y"
"504044","","A Bar Z Ponderosa","4901 BURNEY DR ","CORPUS CHRISTI","TX","78411","NUECES",,"Licensed Center - Child Care Program","Full Permit",9/16/1994,200,"abarzponderosa@sbcglobal.net","133110","","Y","Y","Y","Y"
"875226","","A Bar Z Ponderosa II","4322 VIOLET RD ","CORPUS CHRISTI","TX","78410","NUECES",361-242-9710,"Licensed Center - Child Care Program","Full Permit",11/12/2007,115,"delorise_abarz2@yahoo.com","318865","","Y","Y","Y","Y"
"1693960","","A Better Class Learning Academy","221 N ELM ST ","SWEENY","TX","77480","BRAZORIA",979-236-6561,"Licensed Center - Child Care Program","Full Permit",1/21/2020,34,"abclearningacademy@outlook.com","1334913","","N","Y","Y","Y"
"1596300","","A Better Class Learning Academy","501 KIRBY DR ","WEST COLUMBIA","TX","77486","BRAZORIA",979-345-3202,"Licensed Center - Child Care Program","Full Permit",4/11/2016,27,"","1212066","","N","Y","Y","Y"
"1695775","","A Better Me Learning Academy","315 E DALLAS ST ","FRESNO","TX","77545","FORT BEND",832-216-6038,"Licensed Center - Child Care Program","Full Permit",6/18/2020,12,"","1337314","","N","N","Y","Y"
"888211","","A Big Place 4 Little People Daycare 2","4201 FRIENDSWOOD LINK RD ","FRIENDSWOOD","TX","77546","HARRIS",281-648-5000,"Licensed Center - Child Care Program","Full Permit",7/7/2008,105,"stefanie.hall@abigplace.com","342964","","Y","Y","Y","Y"
"1643902","","A Bright Beginning","4990 FM 3455 RD ","NAVASOTA","TX","77868","GRIMES",936-825-3160,"Licensed Center - Child Care Program","Full Permit",7/21/2017,51,"learningwithloveabb@yahoo.com","1266501","","Y","Y","Y","N"
